,question,answer_aliases,answers,answers_norm,aliases_norm
127,In which country did King Hassan II ascend the throne in 1961?,"['ISO 3166-1:MA' 'Al-Mamlakah al-Maġribiyya' 'Maroc' 'Royaume du Maroc'
 'Norocco' 'Moraco' 'Sultanate of Fez' 'Etymology of Morocco' 'المغرب'
 'Al-Mamlaka al-Maġribiyya' 'Maroc (disambiguation)' 'Morroco' 'Al-Maġrib'
 'Lmaġrib' 'Sherifian Empire' 'Maroco' 'Name of Morocco' 'Morrocco'
 'Moroccan Kingdom' 'Morocco' 'Morrocan' 'Al-Mamlakah al-Maġribiyah'
 'Moroco' 'Marokko' 'المملكة المغربية' 'Marocko' 'Sultanate of Morocco'
 'Al-Mamlaka al-Maghrebia' 'Kingdom of Morocco']",Morocco,morocco,"['iso 31661ma', 'almamlakah almaġribiyya', 'maroc', 'royaume du maroc', 'norocco', 'moraco', 'sultanate of fez', 'etymology of morocco', 'المغرب', 'almamlaka almaġribiyya', 'maroc disambiguation', 'morroco', 'almaġrib', 'lmaġrib', 'sherifian empire', 'maroco', 'name of morocco', 'morrocco', 'moroccan kingdom', 'morocco', 'morrocan', 'almamlakah almaġribiyah', 'moroco', 'marokko', 'المملكة المغربية', 'marocko', 'sultanate of morocco', 'almamlaka almaghrebia', 'kingdom of morocco']"
128,Which British general was killed at Khartoum in 1885?,['Gordon (disambiguation)' 'Gordon' 'Gordon (name)' 'Gordons'],Gordon,gordon,"['gordon disambiguation', 'gordon', 'gordon name', 'gordons']"
129,On the border of which two countries is Victoria Falls?,['Zambia and Zimbabwe'],Zambia and Zimbabwe,zambia and zimbabwe,['zambia and zimbabwe']
130,What is the name of the volcanic valley that runs from the Sinai peninsula to central Mozambique?,"['Syrian-African rift' 'Great rift valley' 'Great Rift Valley'
 'Syrian-East African Rift' 'Great Rift Valley (geographical concept)'
 'Syrian-African Rift Valley' 'Great Rift Valley, geographical concept'
 'Great Rift valley' 'The Great Rift Valley']",Great Rift Valley,great rift valley,"['syrianafrican rift', 'great rift valley', 'great rift valley', 'syrianeast african rift', 'great rift valley geographical concept', 'syrianafrican rift valley', 'great rift valley geographical concept', 'great rift valley', 'the great rift valley']"
131,Which actor won an Academy Award for his performance in The African Queen?,"['Humphrey boggart' 'Stephen Bogart' 'Humphrey bogart' 'Humphry Bogart'
 'Humphrey DeForest Bogart' 'Tennis anyone' 'Bogart' 'Humphrey Bogart'
 'Humprey Bogart']",Humphrey Bogart,humphrey bogart,"['humphrey boggart', 'stephen bogart', 'humphrey bogart', 'humphry bogart', 'humphrey deforest bogart', 'tennis anyone', 'bogart', 'humphrey bogart', 'humprey bogart']"
132,"Who wrote the novel Cry, the Beloved Country about South Africa?",['Alan Paton' 'Alan paton' 'Alan Stewart Paton'],Alan Paton,alan paton,"['alan paton', 'alan paton', 'alan stewart paton']"
133,What is the capital of Kenya?,"['Nairobi Province, Kenya' 'KE-110' 'Nairobi, KE-110' 'Nyrobi'
 'Nairobi Municipality' 'Nairobi, Kenya' 'Safari Capital of the World'
 'Nairobi Province' 'Demographics of Nairobi' 'Capital of Kenya'
 'Nairobi Area' 'Citi Hoppa' 'Nairobi Area, Kenya' 'Nairobi']",Nairobi,nairobi,"['nairobi province kenya', 'ke110', 'nairobi ke110', 'nyrobi', 'nairobi municipality', 'nairobi kenya', 'safari capital of the world', 'nairobi province', 'demographics of nairobi', 'capital of kenya', 'nairobi area', 'citi hoppa', 'nairobi area kenya', 'nairobi']"
134,From which European country did Angola achieve independence in 1975?,"['Portogało' 'Republic of Portugal' 'PORTUGAL' 'Portekiz' 'Portugallu'
 'O Papagaio' 'ISO 3166-1:PT' 'Portunga' 'Phu-to-ga' 'Potigal' 'Portûnga'
 'Portugul' 'An Phortaingéil' 'Portugāle' 'Portugale' 'Portingale'
 'Potiti' 'Portugali' 'Portugall' 'Portekîz' 'Bo Dao Nha'
 'Portuguese Republic' 'Portogallo' 'Portugaul' 'Portogalo' 'Portyngal'
 'Yn Phortiugal' 'Portugalio' 'Portugál' 'Portugual' 'Portuga' 'Portgual'
 'Portugalsko' 'Portugaleje' 'Phû-tô-gâ' 'Portugalujo' 'Portugalija'
 'Pertual' 'Pòtigal' 'Portugal' 'Bồ Đào Nha' 'Portugalska'
 'República Portuguesa' 'Portiwgal' 'Portugalėjė' 'Portúgal' 'Portegal'
 'An Phortaingeil' 'Republica Portuguesa']",Portugal,portugal,"['portogało', 'republic of portugal', 'portugal', 'portekiz', 'portugallu', 'o papagaio', 'iso 31661pt', 'portunga', 'phutoga', 'potigal', 'portûnga', 'portugul', 'an phortaingéil', 'portugāle', 'portugale', 'portingale', 'potiti', 'portugali', 'portugall', 'portekîz', 'bo dao nha', 'portuguese republic', 'portogallo', 'portugaul', 'portogalo', 'portyngal', 'yn phortiugal', 'portugalio', 'portugál', 'portugual', 'portuga', 'portgual', 'portugalsko', 'portugaleje', 'phûtôgâ', 'portugalujo', 'portugalija', 'pertual', 'pòtigal', 'portugal', 'bồ đào nha', 'portugalska', 'república portuguesa', 'portiwgal', 'portugalėjė', 'portúgal', 'portegal', 'an phortaingeil', 'republica portuguesa']"
135,Which country mainly makes up the Horn of Africa?,"['Somali National Salvation Committee' 'Somolia' 'Soomaaliya' 'Somaila'
 'Republic of Somalia' 'Somalia, Africa' 'The Independent Somali State'
 'ISO 3166-1:SO' 'الصومال' 'Coast of Somalia' 'Somalia' 'Somaliya'
 'Federal Republic of Somalia' 'As-Sumal']",Somalia,somalia,"['somali national salvation committee', 'somolia', 'soomaaliya', 'somaila', 'republic of somalia', 'somalia africa', 'the independent somali state', 'iso 31661so', 'الصومال', 'coast of somalia', 'somalia', 'somaliya', 'federal republic of somalia', 'assumal']"
136,What is the capital of Sierra Leone?,"['Freetown Colony' 'Freetown' 'History of Freetown, Sierra Leone'
 'Free Town' 'Freetown settlement' 'Freetown, Sierra Leone'
 'Capital of Sierra Leone']",Freetown,freetown,"['freetown colony', 'freetown', 'history of freetown sierra leone', 'free town', 'freetown settlement', 'freetown sierra leone', 'capital of sierra leone']"
137,Which country is the island of Zanzibar part of?,"['Tanzanian' 'United Republic of Tanzania' 'Tanzania, United Republic of'
 'Jamhuri ya Muungano wa Tanzania' 'Tanzania' 'Tansania' 'Tanzanie'
 'United Republic of Tanganyika and Zanzibar' 'ISO 3166-1:TZ'
 'Republic of Tanzania' 'Tanganyika and Zanzibar'
 'The United Republic of Tanzania' 'TNZ' 'Tanznia']",Tanzania,tanzania,"['tanzanian', 'united republic of tanzania', 'tanzania united republic of', 'jamhuri ya muungano wa tanzania', 'tanzania', 'tansania', 'tanzanie', 'united republic of tanganyika and zanzibar', 'iso 31661tz', 'republic of tanzania', 'tanganyika and zanzibar', 'the united republic of tanzania', 'tnz', 'tanznia']"
138,What is Africa's largest country?,"['Sudan' 'Islamic Republic of Sudan' 'Sport in Sudan'
 'Government of the Sudan' 'The Sudan' 'Republic of Sudan'
 'Republic of North Sudan' 'Northern Sudan'
 'Environmental issues in Sudan' 'Sudan proper' 'North Sudan'
 'Environmental issues in sudan' 'As-Sūdān'
 'Administrative divisions of Sudan' 'ISO 3166-1:SD' 'جمهورية السودان'
 'Sudanese culture' 'As-Sudan' 'Republic of the Sudan' 'السودان'
 'Islamic Republic of the Sudan' 'Clothing in Sudan'
 'Official language of Southern Sudan' 'Sudanese' 'Environment of Sudan'
 'Culture of Sudan' 'Sudan Foundation']",Sudan,sudan,"['sudan', 'islamic republic of sudan', 'sport in sudan', 'government of the sudan', 'the sudan', 'republic of sudan', 'republic of north sudan', 'northern sudan', 'environmental issues in sudan', 'sudan proper', 'north sudan', 'environmental issues in sudan', 'assūdān', 'administrative divisions of sudan', 'iso 31661sd', 'جمهورية السودان', 'sudanese culture', 'assudan', 'republic of the sudan', 'السودان', 'islamic republic of the sudan', 'clothing in sudan', 'official language of southern sudan', 'sudanese', 'environment of sudan', 'culture of sudan', 'sudan foundation']"
139,"Which African country is bordered by Benin, Ghana, Ivory Coast, Niger, and Mali?","['Bourkina-Fasso' 'Maximes, Thoughts and Riddles of the Mossi'
 'Burkina Fasso' 'Burkina' 'Bourkina Faso'
 'Maximes, pensées et devinettes mossi' 'Burkinabè' 'Berkina faso'
 'ISO 3166-1:BF' 'Burkina faso' 'Faso' 'Burkina Fasoan' 'Bourkina Fasso'
 'Burkinafaso' 'Burkino Faso' 'Burkina-Faso' 'Burkina Faso'
 'Burkina Fatso']",Burkino Faso,burkino faso,"['bourkinafasso', 'maximes thoughts and riddles of the mossi', 'burkina fasso', 'burkina', 'bourkina faso', 'maximes pensées et devinettes mossi', 'burkinabè', 'berkina faso', 'iso 31661bf', 'burkina faso', 'faso', 'burkina fasoan', 'bourkina fasso', 'burkinafaso', 'burkino faso', 'burkinafaso', 'burkina faso', 'burkina fatso']"
140,Who was the woman sentenced to six years in jail after the murder of Stompei Seipi?,"['Nomzamo Winifred Zanyiwe Madikizela' 'Winnie Madikizela-Mandela'
 'Winnie Mandela' 'Nomzano Zaniewe' 'Winnie Nomzamo Mandela'
 'Nomzamo Winnie Mandela' 'Mandela, Winnie' 'Winnie Madikizela Mandela'
 'Winnie Madikizela' 'Winnifred Mandela']",Winnie Mandela,winnie mandela,"['nomzamo winifred zanyiwe madikizela', 'winnie madikizelamandela', 'winnie mandela', 'nomzano zaniewe', 'winnie nomzamo mandela', 'nomzamo winnie mandela', 'mandela winnie', 'winnie madikizela mandela', 'winnie madikizela', 'winnifred mandela']"
141,In which country are the towns of Gweru and Kwekwe?,"['Zimbobwe' 'Health care in Zimbabwe' 'Zimbabwean cultural practices'
 'People of Zimbabwe' 'Republic of Zimbabwe' 'Zimbabwean legends'
 'Zimbabwae' 'Zimbabwian' 'Republic Of Zimbabwe' 'Cuisine of Zimbabwe'
 'Zimbabwean cuisine' 'ZWE' 'Zimbabwei' 'Zimbabwe' 'Etymology of Zimbabwe'
 'ISO 3166-1:ZW' 'Republic Zimbabwe' 'Zimbawean' 'Zimbabwean'
 'Name of Zimbabwe' 'Chimpabwe']",Zimbabwe,zimbabwe,"['zimbobwe', 'health care in zimbabwe', 'zimbabwean cultural practices', 'people of zimbabwe', 'republic of zimbabwe', 'zimbabwean legends', 'zimbabwae', 'zimbabwian', 'republic of zimbabwe', 'cuisine of zimbabwe', 'zimbabwean cuisine', 'zwe', 'zimbabwei', 'zimbabwe', 'etymology of zimbabwe', 'iso 31661zw', 'republic zimbabwe', 'zimbawean', 'zimbabwean', 'name of zimbabwe', 'chimpabwe']"
142,Who was the founder of the Back to Africa movement who largely inspired Rastafarianism?,"['MARCUS GARVEY' 'Marcus Garvey Moziah Jr' 'Marcus Aurelius Garvey'
 'Marcus Garvey' 'Marcus Moziah Garvey' 'Marcus M. Garvey'
 'Marcus Mosiah Garvey' 'Marcus garvey' 'Marcus Garvy' 'Garveyan']",Marcus Garvey,marcus garvey,"['marcus garvey', 'marcus garvey moziah jr', 'marcus aurelius garvey', 'marcus garvey', 'marcus moziah garvey', 'marcus m garvey', 'marcus mosiah garvey', 'marcus garvey', 'marcus garvy', 'garveyan']"
143,Which African country is sandwiched between Ghana and Benin?,"['Republic of Togo' 'BQG' 'ISO 3166-1:TG' 'Health care in Togo'
 'Health in Togo' 'République Togolaise' 'Togo' 'Republique Togolaise'
 'Togolese' 'Sport in Togo' 'Religion in Togo' 'Togolese Republic'
 'Administrative divisions of Togo']",Togo,togo,"['republic of togo', 'bqg', 'iso 31661tg', 'health care in togo', 'health in togo', 'république togolaise', 'togo', 'republique togolaise', 'togolese', 'sport in togo', 'religion in togo', 'togolese republic', 'administrative divisions of togo']"
144,The Zambesi and which other river define the borders of Matabeleland?,"['Northern Province, South Africa' 'Limpopo Province'
 'Limpopo (South African province)' 'Northern Province (South Africa)'
 'Limpopo' 'Northern Transvaal' 'Limpopo province']",Limpopo,limpopo,"['northern province south africa', 'limpopo province', 'limpopo south african province', 'northern province south africa', 'limpopo', 'northern transvaal', 'limpopo province']"
145,In which mountains are Camp David?,['Appalachian' 'Appalachian (disambiguation)'],Appalachian,appalachian,"['appalachian', 'appalachian disambiguation']"
146,"""Which song say, """"The words of the prophet are written on the subway walls?""""""","['The Sounds of Silence (song)' 'The Sound Of Silence' 'Sound of Silence'
 'The Sound of Silence' 'En ton av tystnad' 'The Sounds of Silence'
 'Hello Darkness My old Friend']",Sound of Silence,sound of silence,"['the sounds of silence song', 'the sound of silence', 'sound of silence', 'the sound of silence', 'en ton av tystnad', 'the sounds of silence', 'hello darkness my old friend']"
147,Who sang the title song for the Bond film A View To A Kill?,"['Duran duran' 'Sphere Studios' 'Careless Memory' 'Duran Duran'
 'Duranduran' 'DUran Duran']",Duran Duran,duran duran,"['duran duran', 'sphere studios', 'careless memory', 'duran duran', 'duranduran', 'duran duran']"
148,In which country did General Jaruzelski impose marital law in 1981?,"['Etymology of Poland' 'Polish state' 'Poleand' 'Rzeczpospolita Polska'
 'Polland' 'ISO 3166-1:PL' 'Polskor' 'Republic of Poland' 'POLAND'
 'Fourth Poland' 'Country- Poland' 'Poleland' 'Polska' 'Poland' 'Poland.'
 'Pols Land' 'Polnd' 'Po land' 'Lenkija' 'Bastarnia' 'Pologne' 'PolanD'
 'Polija' 'Pole land' 'Architecture of Poland' 'Ploand']",Poland,poland,"['etymology of poland', 'polish state', 'poleand', 'rzeczpospolita polska', 'polland', 'iso 31661pl', 'polskor', 'republic of poland', 'poland', 'fourth poland', 'country poland', 'poleland', 'polska', 'poland', 'poland', 'pols land', 'polnd', 'po land', 'lenkija', 'bastarnia', 'pologne', 'poland', 'polija', 'pole land', 'architecture of poland', 'ploand']"
149,Who won the Oscar for directing It Happened One Night?,"['Frank Capra' 'Francesco Rosario Capra'
 'The American Film Institute Salute to Frank Capra'
 'The american film institute salute to frank capra' 'Capraesque'
 'Francesco Capra' 'Lou Capra' 'Frank R. Capra']",Frank Capra,frank capra,"['frank capra', 'francesco rosario capra', 'the american film institute salute to frank capra', 'the american film institute salute to frank capra', 'capraesque', 'francesco capra', 'lou capra', 'frank r capra']"
150,Hellenikon international airport is in which country?,"['Yunanistan' 'Griekenland' 'Hellenic republic' 'Elláda' 'Graecia'
 'The Hellenic Republic' 'Ελλάς' 'Eládha' 'Yananistan'
 'Republic of Greece' 'Elliniki Dimokratía' 'Picki u dusa'
 'République hellénique' 'Social issues in Greece' 'Hellas'
 'Hellenic Republic' 'Republique hellenique' 'Eladha' 'Ελλάδα' 'Grèce'
 'Elliniki Dimokratia' 'Greece' 'Temporary Government of National Defence'
 'Griechenland' 'Grcija' 'Ellada' 'Hellada' 'Greek Republic' 'Grece'
 'Ελληνική Δημοκρατία' 'Grcka' 'Political history of Greece'
 'Ellīnikī́ Dīmokratía' 'Macedonian Greece' 'History of North Greece'
 'ISO 3166-1:GR' 'Grecce' 'Elás' 'Hellás' 'Ελλας'
 'Greek law (Hellenic Republic)']",Greece,greece,"['yunanistan', 'griekenland', 'hellenic republic', 'elláda', 'graecia', 'the hellenic republic', 'ελλάς', 'eládha', 'yananistan', 'republic of greece', 'elliniki dimokratía', 'picki u dusa', 'république hellénique', 'social issues in greece', 'hellas', 'hellenic republic', 'republique hellenique', 'eladha', 'ελλάδα', 'grèce', 'elliniki dimokratia', 'greece', 'temporary government of national defence', 'griechenland', 'grcija', 'ellada', 'hellada', 'greek republic', 'grece', 'ελληνική δημοκρατία', 'grcka', 'political history of greece', 'ellīnikī dīmokratía', 'macedonian greece', 'history of north greece', 'iso 31661gr', 'grecce', 'elás', 'hellás', 'ελλας', 'greek law hellenic republic']"
151,Who had a 60s No 1 with Lightnin' Strikes?,"['Luigi A.G. Sacco' 'Luigi Giovanni Sacco' 'Luigi Alfredo Giovanni Sacco'
 'Luigi Alfredo Sacco' 'Luigi A. G. Sacco' 'Lou Christie']",Lou Christie,lou christie,"['luigi ag sacco', 'luigi giovanni sacco', 'luigi alfredo giovanni sacco', 'luigi alfredo sacco', 'luigi a g sacco', 'lou christie']"
152,In which year was CNN founded?,"['one thousand, nine hundred and eighty' '1980']",1980,1980,"['one thousand nine hundred and eighty', '1980']"
153,Who was President Reagan's Secretary for Defense from 1987 to 1989?,"['Frank Charles Carlucci' 'Frank Charles Carlucci, III' 'Frank Carlucci'
 'Frank Carlucci III' 'Frank C. Carlucci' 'Frank C. Carlucci III'
 'Frank Charles Carlucci III']",Frank Carlucci,frank carlucci,"['frank charles carlucci', 'frank charles carlucci iii', 'frank carlucci', 'frank carlucci iii', 'frank c carlucci', 'frank c carlucci iii', 'frank charles carlucci iii']"
154,Which famous brother of Talia Shire does not share her last name?,"['Ford coppola' 'Coppola, Francis Ford' 'Ff coppola' 'Francis Coppola'
 'Francis Ford Coppola filmography' 'Godfather of Wine'
 'Francis Ford Coppola' 'List of Francis Ford Coppola films']",Francis Ford Coppola,francis ford coppola,"['ford coppola', 'coppola francis ford', 'ff coppola', 'francis coppola', 'francis ford coppola filmography', 'godfather of wine', 'francis ford coppola', 'list of francis ford coppola films']"
155,In basketball where do the Celtics come from?,"['City of Boston' 'Boston,MA' 'Economy of Boston' 'Boston, Massachussets'
 ""Boston's"" 'Boston, ma' 'Boston, Massachusets' 'Boston Massachusetts'
 'Boston, United States' 'Wahstoronòn:ke' 'Boston, Massachusetts, USA'
 'Boston Mass' 'Boston, Massachessets' 'Boston, Massachussetts'
 'Boston, Massachusetts, US' 'Bosotn' 'The weather in Boston'
 'Boston,Massachusetts' 'Boston, Mass' 'Boston, Massachusettes'
 'Boston, Massachussettes' 'Boston, Massachusetts'
 'The hub of the universe' 'Boston mass' 'Boston massachusetts'
 'Boston Weather' 'Beantown' 'Bofton' 'Boston, USA' 'Boston, mass'
 'Education in Boston' 'Boston ma' 'Boston, MA' 'Boston, US'
 'Boston (Mass.)' 'Boston MA' 'Demographics of Boston'
 'Geography of Boston' 'Religion in Boston' 'Boston (MA)'
 'Capital of Massachusetts' 'Puritan City'
 'Boston, Massachusetts, United States of America' 'Politics of Boston'
 'Boston' 'Boston, Mass.' 'The Hub of the Universe'
 'Boston, Massachusetts, United States' 'Bean Town' 'Bawstun'
 'UN/LOCODE:USBOS' 'Massachusetts/Boston']",Boston,boston,"['city of boston', 'bostonma', 'economy of boston', 'boston massachussets', 'bostons', 'boston ma', 'boston massachusets', 'boston massachusetts', 'boston united states', 'wahstoronònke', 'boston massachusetts usa', 'boston mass', 'boston massachessets', 'boston massachussetts', 'boston massachusetts us', 'bosotn', 'the weather in boston', 'bostonmassachusetts', 'boston mass', 'boston massachusettes', 'boston massachussettes', 'boston massachusetts', 'the hub of the universe', 'boston mass', 'boston massachusetts', 'boston weather', 'beantown', 'bofton', 'boston usa', 'boston mass', 'education in boston', 'boston ma', 'boston ma', 'boston us', 'boston mass', 'boston ma', 'demographics of boston', 'geography of boston', 'religion in boston', 'boston ma', 'capital of massachusetts', 'puritan city', 'boston massachusetts united states of america', 'politics of boston', 'boston', 'boston mass', 'the hub of the universe', 'boston massachusetts united states', 'bean town', 'bawstun', 'unlocodeusbos', 'massachusettsboston']"
156,Which Disney film had the theme tune A Whole New World?,"[""'Ala' ad Din"" ""'Ala' ad-Din"" 'Alad-Din' 'Aladdin' ""'Ala' addin"" 'アラジン'
 ""Aladdin's lamp"" 'Alladdin' 'Ali ibn ad-Din' 'Ala addin' 'Alaad Din'
 'Alad Din' 'علاء الدين' 'ʻAlāʼ ad-Dīn' 'Ala ad-Din' 'Alaaddin'
 'Aladdin and the magic lamp' 'Arajin' 'Alaad-Din'
 'Aladdin and the Magic Lamp' ""'Ala addin""]",Aladdin,aladdin,"['ala ad din', 'ala addin', 'aladdin', 'aladdin', 'ala addin', 'アラジン', 'aladdins lamp', 'alladdin', 'ali ibn addin', 'ala addin', 'alaad din', 'alad din', 'علاء الدين', 'ʻalāʼ addīn', 'ala addin', 'alaaddin', 'aladdin and the magic lamp', 'arajin', 'alaaddin', 'aladdin and the magic lamp', 'ala addin']"
157,What does MG sand for in Booker T & The MG's?,"['Memphis style' 'Memphis design' 'Memphis Style' 'Memphis movement'
 'Memphis Group' 'Memphis (design group)']",Memphis Group,memphis group,"['memphis style', 'memphis design', 'memphis style', 'memphis movement', 'memphis group', 'memphis design group']"
158,Florence Ballard was a member of which girl group?,"['Diana Ross and the Supremes' 'Diana Ross & The Supremes'
 'Diana Ross and The Supremes' 'The Supremes Sing Disney Classics'
 ""The Supremes at the Copa '67"" 'The Supremes'
 'Diana Ross And The Supremes' 'Supremes' 'The Primettes'
 'Diana ross and the supremes' 'Primettes' 'The supremes'
 'Diana Ross & the Supremes']",Supremes,supremes,"['diana ross and the supremes', 'diana ross  the supremes', 'diana ross and the supremes', 'the supremes sing disney classics', 'the supremes at the copa 67', 'the supremes', 'diana ross and the supremes', 'supremes', 'the primettes', 'diana ross and the supremes', 'primettes', 'the supremes', 'diana ross  the supremes']"
159,"Who was born first, Susan Sarandon or Glenn Close?",['Susan Abigail Sarandon' 'Susan Abigail Tomalin' 'Susan Sarandon'],Susan Sarandon,susan sarandon,"['susan abigail sarandon', 'susan abigail tomalin', 'susan sarandon']"
160,Who wrote the novel The Go Between?,"['L P Hartley' 'L. P. Hartley' 'Leslie Hartley' 'L.P. Hartley'
 'The past is a foreign country' 'Leslie Poles Hartley' 'LP Hartley']",L. P. Hartley,l p hartley,"['l p hartley', 'l p hartley', 'leslie hartley', 'lp hartley', 'the past is a foreign country', 'leslie poles hartley', 'lp hartley']"
161,In which musical do the sweeps sing Chim Chim Cheree?,"['Mrs. George Banks' 'Winifred banks' '17 Cherry Tree Lane'
 'Bert (Mary Poppins)' 'Mr. George Banks' 'Mr George Banks' 'Mary popins'
 'Mrs George Banks' 'Marry Poppins' 'Mrs Winifred Banks' 'Mary Poppins'
 'Mrs. Winifred Banks' 'Mary poppins' 'Winifred Banks']",Mary Poppins,mary poppins,"['mrs george banks', 'winifred banks', '17 cherry tree lane', 'bert mary poppins', 'mr george banks', 'mr george banks', 'mary popins', 'mrs george banks', 'marry poppins', 'mrs winifred banks', 'mary poppins', 'mrs winifred banks', 'mary poppins', 'winifred banks']"
162,Who had a big 60s No 1 with Tossin' and Turnin'?,['Bobby Lewis'],Bobby Lewis,bobby lewis,['bobby lewis']
163,Sam Phillips was owner of which legendary recording studio?,"['Structure of the Sun' 'Sun' 'Orbit of the sun' 'Solar X-ray astronomy'
 'Internal structure of the Sun' '🌞' 'The Sun' 'Solarian' 'Solar glare'
 'Layers of the Sun' 'Solar photosphere' 'Solar atmosphere'
 'Solar magnetic field' 'Sun (astronomy)' 'Sun gravity' 'Sunlike'
 'The sun' 'Atmosphere of the Sun' 'Exploration of the Sun' 'Sun (song)'
 ""Sun's orbit"" 'Local Star' 'Sun characteristics' 'Sol (star)'
 'Sun (star)' 'Solar diameter' 'Orbit of the Sun' 'Local star'
 ""Earth's sun"" 'Heliology' 'Watch sun directly' 'Parts of the sun']",Sun,sun,"['structure of the sun', 'sun', 'orbit of the sun', 'solar xray astronomy', 'internal structure of the sun', '', 'the sun', 'solarian', 'solar glare', 'layers of the sun', 'solar photosphere', 'solar atmosphere', 'solar magnetic field', 'sun astronomy', 'sun gravity', 'sunlike', 'the sun', 'atmosphere of the sun', 'exploration of the sun', 'sun song', 'suns orbit', 'local star', 'sun characteristics', 'sol star', 'sun star', 'solar diameter', 'orbit of the sun', 'local star', 'earths sun', 'heliology', 'watch sun directly', 'parts of the sun']"
164,Which actor played Maxwell Smart?,"['Adams, Don' 'Don Adams (Actor)' 'Don Adams' 'Donald James Yarmy'
 'Donald Yarmy' 'Missed it by that much']",Don Adams,don adams,"['adams don', 'don adams actor', 'don adams', 'donald james yarmy', 'donald yarmy', 'missed it by that much']"
165,On a computer keyboard which letter on the same line is between C and B?,['History of V' '🆅' 'V (letter)' 'Ⓥ' 'Ｖ' '⒱' 'ⓥ' '🄥' '🅥' 'V' '🅅'],V,v,"['history of v', '', 'v letter', '', 'ｖ', '', '', '', '', 'v', '']"
166,Lunar 10's Lunar Excursion Module was named after which famous character?,['Snoopie' 'Snoopy dog' 'Daisy Hill Puppy Farm' 'Snoopy'],Snoopy,snoopy,"['snoopie', 'snoopy dog', 'daisy hill puppy farm', 'snoopy']"
167,In which decade did golfer Gary Player last win the British Open?,"['1970s (decade)' ""The '70s"" ""1970's"" '1970–1979' 'Seventies' '1974-1975'
 '1970s' '‘70s' 'The Seventies' 'Nineteen-seventies' 'Nineteen seventies'
 ""'70s"" '1973-1974' ""'70's"" ""70's"" '1970’s' '70s' '1970-1979']",70s,70s,"['1970s decade', 'the 70s', '1970s', '19701979', 'seventies', '19741975', '1970s', '70s', 'the seventies', 'nineteenseventies', 'nineteen seventies', '70s', '19731974', '70s', '70s', '1970s', '70s', '19701979']"
168,Sarah FitzGerald has been a 90s world champion in which sport?,['Squash (disambiguation)' 'Squash' 'Squashes'],Squash,squash,"['squash disambiguation', 'squash', 'squashes']"
169,Where was the peace treaty signed that brought World War I to an end?,"['Palais de Versailles' 'Palace of versailles'
 'Musee national du chateau de Versailles et des Trianons'
 'Palace and Park of Versailles' 'Chateau of Versailles' 'Versailles'
 'Museum of the History of France, Versailles' 'City of Versailles'
 'Palace of Versailles' 'Musée de Versailles'
 'Musée national du Château de Versailles' 'Versailles Castle'
 'Musée d’Histoire de France' 'Palais Versailles' 'Château de Versailles'
 'Residence of Versailles' 'Schloss Versailles'
 'Musée national du château de Versailles et des Trianons'
 'Versailles Museum' 'Galerie de Versailles' 'Chateau de Versailles'
 'Château of Versailles' 'PalaceofVersailles'
 'Musée national du château et des Trianons' ""Musée d'Histoire de France""
 'Chateau Versailles' 'Versailles Palace' 'The Palace of Versailles'
 'Musée historique de Versailles']",Versailles,versailles,"['palais de versailles', 'palace of versailles', 'musee national du chateau de versailles et des trianons', 'palace and park of versailles', 'chateau of versailles', 'versailles', 'museum of the history of france versailles', 'city of versailles', 'palace of versailles', 'musée de versailles', 'musée national du château de versailles', 'versailles castle', 'musée dhistoire de france', 'palais versailles', 'château de versailles', 'residence of versailles', 'schloss versailles', 'musée national du château de versailles et des trianons', 'versailles museum', 'galerie de versailles', 'chateau de versailles', 'château of versailles', 'palaceofversailles', 'musée national du château et des trianons', 'musée dhistoire de france', 'chateau versailles', 'versailles palace', 'the palace of versailles', 'musée historique de versailles']"
170,Which Welsh singer was invited to sing at the White House on Millennium Eve?,"['Jones, Tom' 'Tom Jones (opera)' 'Tom Jones (footballer)'
 'Tom Jones (Australian footballer)' 'Tom Jones (film)' 'Tom jones (film)'
 'Tom jones' 'Tom Jones!' 'Tom Jones (disambiguation)' 'Tom Jones (Opera)'
 'Tom Jones' 'Tom Jones (movie)']",Tom Jones,tom jones,"['jones tom', 'tom jones opera', 'tom jones footballer', 'tom jones australian footballer', 'tom jones film', 'tom jones film', 'tom jones', 'tom jones', 'tom jones disambiguation', 'tom jones opera', 'tom jones', 'tom jones movie']"
171,Which company was responsible for the oil spill in Alaska in 1989?,"['Standard Oil New Jersey' 'Exxon Company' 'Exxon' 'Jersey Standard'
 'EXXon' 'Exxon Research and Engineering Company' 'Esso Petroleum'
 'Standard Oil Company of New Jersey' 'Exxon Company USA']",Exxon,exxon,"['standard oil new jersey', 'exxon company', 'exxon', 'jersey standard', 'exxon', 'exxon research and engineering company', 'esso petroleum', 'standard oil company of new jersey', 'exxon company usa']"
172,What date is Father's Day?,['3rd Sunday in June'],3rd Sunday in June,3rd sunday in june,['3rd sunday in june']
173,In which decade of the 20th century was the FBI set up?,"['1900s' '1900s (disambiguation)' ""1900's"" 'Nineteen-hundreds']",1900s,1900s,"['1900s', '1900s disambiguation', '1900s', 'nineteenhundreds']"
